timestamp,heart rate zone type,kcal,data source
2023-08-01T00:00:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:01:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:02:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:03:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:04:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:05:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:06:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:07:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:08:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:09:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:10:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:11:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:12:00Z,LIGHT,5.055834,Fitbit App
2023-08-01T00:13:00Z,LIGHT,7.1376479999999995,Fitbit App
2023-08-01T00:14:00Z,LIGHT,8.029854,Fitbit App
2023-08-01T00:15:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:16:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:17:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:18:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:19:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:20:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:21:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:22:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:23:00Z,LIGHT,2.230515,Fitbit App
2023-08-01T00:24:00Z,LIGHT,1.933113,Fitbit App
2023-08-01T00:25:00Z,LIGHT,5.353236,Fitbit App
2023-08-01T00:26:00Z,LIGHT,5.650638,Fitbit App
2023-08-01T00:27:00Z,LIGHT,5.94804,Fitbit App
2023-08-01T00:28:00Z,LIGHT,2.0818139999999996,Fitbit App
2023-08-01T00:29:00Z,LIGHT,4.46103,Fitbit App
2023-08-01T00:30:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:31:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:32:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:33:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:34:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:35:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:36:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:37:00Z,LIGHT,1.7844119999999999,Fitbit App
2023-08-01T00:38:00Z,LIGHT,1.933113,Fitbit App
2023-08-01T00:39:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:40:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:41:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:42:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:43:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:44:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:45:00Z,LIGHT,1.9331260000000001,Fitbit App
2023-08-01T00:46:00Z,LIGHT,5.3532720000000005,Fitbit App
2023-08-01T00:47:00Z,LIGHT,5.055868,Fitbit App
2023-08-01T00:48:00Z,LIGHT,2.23053,Fitbit App
2023-08-01T00:49:00Z,LIGHT,5.3532720000000005,Fitbit App
2023-08-01T00:50:00Z,LIGHT,5.650676,Fitbit App
2023-08-01T00:51:00Z,LIGHT,5.94808,Fitbit App
2023-08-01T00:52:00Z,LIGHT,5.055868,Fitbit App
2023-08-01T00:53:00Z,LIGHT,2.081828,Fitbit App
2023-08-01T00:54:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T00:55:00Z,LIGHT,4.46106,Fitbit App
2023-08-01T00:56:00Z,LIGHT,5.055868,Fitbit App
2023-08-01T00:57:00Z,LIGHT,1.9331260000000001,Fitbit App
2023-08-01T00:58:00Z,LIGHT,1.9331260000000001,Fitbit App
2023-08-01T00:59:00Z,LIGHT,1.9331260000000001,Fitbit App
2023-08-01T01:00:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T01:01:00Z,LIGHT,1.784424,Fitbit App
2023-08-01T01:02:00Z,LIGHT,1.784424,Fitbit App
